Gene,Population 1,Population 2,Normalized lineage score,Significant guides,Total guides,,,,,,,,,,,,,,,,,,,,
Tdrd7,GMP,LSKd7,0.576235546,0,4,,,,,,,,,,,,,,,,,,,,
Prmt2,GMP,LSKd7,0.569878841,0,4,,,,,,,,,,,,,,,,,,,,
Shprh,GMP,LSKd7,0.559899875,0,4,,,,,,,,,,,,,,,,,,,,
Chd7,GMP,LSKd7,0.556632236,0,4,,,,,,,,,,,,,,,,,,,,
Hdac4,GMP,LSKd7,0.523947042,0,4,,,,,,,,,,,,,,,,,,,,
Morf4l2,GMP,LSKd7,0.508945831,0,4,,,,,,,,,,,,,,,,,,,,
Prdm16,GMP,LSKd7,0.507480123,0,4,,,,,,,,,,,,,,,,,,,,
Phf6,GMP,LSKd7,0.502025974,0,4,,,,,,,,,,,,,,,,,,,,
Cbx4,GMP,LSKd7,0.486365318,0,4,,,,,,,,,,,,,,,,,,,,
Baz1a,GMP,LSKd7,0.445503027,0,4,,,,,,,,,,,,,,,,,,,,
Sirt7,GMP,LSKd7,0.445264937,0,4,,,,,,,,,,,,,,,,,,,,
Suv39h1,GMP,LSKd7,0.4339735,0,4,,,,,,,,,,,,,,,,,,,,
Dnmt3b,GMP,LSKd7,0.427628619,0,4,,,,,,,,,,,,,,,,,,,,
Sirt5,GMP,LSKd7,0.386114686,0,4,,,,,,,,,,,,,,,,,,,,
Kdm3a,GMP,LSKd7,0.383302308,0,4,,,,,,,,,,,,,,,,,,,,
Kdm8,GMP,LSKd7,0.359566489,0,4,,,,,,,,,,,,,,,,,,,,
Rai1,GMP,LSKd7,0.331318654,0,4,,,,,,,,,,,,,,,,,,,,
Hmgb3,GMP,LSKd7,0.224643356,0,4,,,,,,,,,,,,,,,,,,,,
Tsfm,GMP,LSKd7,0.150471694,0,4,,,,,,,,,,,,,,,,,,,,
Setd6,GMP,LSKd7,0.114059607,0,4,,,,,,,,,,,,,,,,,,,,
Sirt3,GMP,LSKd7,0.099040102,0,4,,,,,,,,,,,,,,,,,,,,
Phf1,GMP,LSKd7,0.085583351,0,4,,,,,,,,,,,,,,,,,,,,
Smc4,GMP,LSKd7,0.084889188,0,4,,,,,,,,,,,,,,,,,,,,
Suv39h2,GMP,LSKd7,0.051625275,0,4,,,,,,,,,,,,,,,,,,,,
Ncapd3,GMP,LSKd7,0.046797682,0,4,,,,,,,,,,,,,,,,,,,,
Cbx6,GMP,LSKd7,0.01800434,0,4,,,,,,,,,,,,,,,,,,,,
Cbx2,GMP,LSKd7,-0.017388881,0,4,,,,,,,,,,,,,,,,,,,,
Nasp,GMP,LSKd7,-0.025471278,0,4,,,,,,,,,,,,,,,,,,,,
Hmgn1,GMP,LSKd7,-0.098561986,0,4,,,,,,,,,,,,,,,,,,,,
Setd7,GMP,LSKd7,-0.106270182,0,4,,,,,,,,,,,,,,,,,,,,
Hdac10,GMP,LSKd7,-0.136065266,0,4,,,,,,,,,,,,,,,,,,,,
Hat1,GMP,LSKd7,-0.208787983,0,4,,,,,,,,,,,,,,,,,,,,
Suv420h1,GMP,LSKd7,-0.227109079,0,4,,,,,,,,,,,,,,,,,,,,
Prmt1,GMP,LSKd7,-0.364112818,0,4,,,,,,,,,,,,,,,,,,,,
Setd8,GMP,LSKd7,-0.416774941,0,4,,,,,,,,,,,,,,,,,,,,
Chaf1b,GMP,LSKd7,-0.500419274,0,4,,,,,,,,,,,,,,,,,,,,
Phf21a,GMP,LSKd7,-0.512534002,0,4,,,,,,,,,,,,,,,,,,,,
Setd4,GMP,LSKd7,-0.51491224,0,4,,,,,,,,,,,,,,,,,,,,
Setdb2,GMP,LSKd7,-0.557537577,0,4,,,,,,,,,,,,,,,,,,,,
Mettl13,GMP,LSKd7,-0.567731219,0,4,,,,,,,,,,,,,,,,,,,,
Prmt6,GMP,LSKd7,-0.726837498,0,4,,,,,,,,,,,,,,,,,,,,
Kdm6b,GMP,LSKd7,-0.955246916,0,4,,,,,,,,,,,,,,,,,,,,
Chd2,GMP,LSKd7,-1.582216429,0,4,,,,,,,,,,,,,,,,,,,,
Setbp1,GMP,LSKd7,-1.632962876,0,4,,,,,,,,,,,,,,,,,,,,
Med20,GMP,LSKd7,-3.895434615,3,3,,,,,,,,,,,,,,,,,,,,
Med12,GMP,LSKd7,-4.201537397,3,3,,,,,,,,,,,,,,,,,,,,
Uba2,GMP,LSKd7,3.989578352,2,3,,,,,,,,,,,,,,,,,,,,
Mecom,GMP,LSKd7,3.491636446,2,3,,,,,,,,,,,,,,,,,,,,
Kat6a,GMP,LSKd7,2.886923071,2,3,,,,,,,,,,,,,,,,,,,,
Srsf1,GMP,LSKd7,2.411280783,2,3,,,,,,,,,,,,,,,,,,,,
Phf12,GMP,LSKd7,1.978598582,2,3,,,,,,,,,,,,,,,,,,,,
Med14,GMP,LSKd7,-2.048945727,2,3,,,,,,,,,,,,,,,,,,,,
Med11,GMP,LSKd7,-2.281616307,2,3,,,,,,,,,,,,,,,,,,,,
Ccdc101,GMP,LSKd7,-2.925834328,2,3,,,,,,,,,,,,,,,,,,,,
Syncrip,GMP,LSKd7,-3.216067041,2,3,,,,,,,,,,,,,,,,,,,,
Taf4a,GMP,LSKd7,-3.240015093,2,3,,,,,,,,,,,,,,,,,,,,
Med8,GMP,LSKd7,-3.451095821,2,3,,,,,,,,,,,,,,,,,,,,
Med31,GMP,LSKd7,-3.742578861,2,3,,,,,,,,,,,,,,,,,,,,
Zfp217,GMP,LSKd7,-3.855928497,2,3,,,,,,,,,,,,,,,,,,,,
Cstf1,GMP,LSKd7,3.902576523,1,3,,,,,,,,,,,,,,,,,,,,
Hira,GMP,LSKd7,3.290425994,1,3,,,,,,,,,,,,,,,,,,,,
Jade2,GMP,LSKd7,3.06011972,1,3,,,,,,,,,,,,,,,,,,,,
Sp1,GMP,LSKd7,2.846178165,1,3,,,,,,,,,,,,,,,,,,,,
Yy1,GMP,LSKd7,2.573715497,1,3,,,,,,,,,,,,,,,,,,,,
Nfrkb,GMP,LSKd7,2.450424359,1,3,,,,,,,,,,,,,,,,,,,,
Gse1,GMP,LSKd7,2.285785788,1,3,,,,,,,,,,,,,,,,,,,,
Pias1,GMP,LSKd7,2.278188178,1,3,,,,,,,,,,,,,,,,,,,,
Kdm2b,GMP,LSKd7,2.262093368,1,3,,,,,,,,,,,,,,,,,,,,
Crebbp,GMP,LSKd7,2.053779417,1,3,,,,,,,,,,,,,,,,,,,,
Ncaph,GMP,LSKd7,1.842012413,1,3,,,,,,,,,,,,,,,,,,,,
Cul4b,GMP,LSKd7,1.685740645,1,3,,,,,,,,,,,,,,,,,,,,
Dhx8,GMP,LSKd7,1.598879819,1,3,,,,,,,,,,,,,,,,,,,,
Pias3,GMP,LSKd7,1.522702142,1,3,,,,,,,,,,,,,,,,,,,,
Dmap1,GMP,LSKd7,1.275993144,1,3,,,,,,,,,,,,,,,,,,,,
Kdm5c,GMP,LSKd7,1.250256909,1,3,,,,,,,,,,,,,,,,,,,,
Las1l,GMP,LSKd7,1.244792099,1,3,,,,,,,,,,,,,,,,,,,,
Smc6,GMP,LSKd7,1.215039756,1,3,,,,,,,,,,,,,,,,,,,,
Med24,GMP,LSKd7,1.062053543,1,3,,,,,,,,,,,,,,,,,,,,
Hmgb1,GMP,LSKd7,1.024261282,1,3,,,,,,,,,,,,,,,,,,,,
Noc2l,GMP,LSKd7,1.010347351,1,3,,,,,,,,,,,,,,,,,,,,
Sin3b,GMP,LSKd7,0.933363996,1,3,,,,,,,,,,,,,,,,,,,,
Purb,GMP,LSKd7,0.885927594,1,3,,,,,,,,,,,,,,,,,,,,
Cdc73,GMP,LSKd7,0.669629706,1,3,,,,,,,,,,,,,,,,,,,,
Top2a,GMP,LSKd7,0.564423084,1,3,,,,,,,,,,,,,,,,,,,,
Mdm4,GMP,LSKd7,0.406690962,1,3,,,,,,,,,,,,,,,,,,,,
Arid4a,GMP,LSKd7,0.128526345,1,3,,,,,,,,,,,,,,,,,,,,
Med19,GMP,LSKd7,0.118238767,1,3,,,,,,,,,,,,,,,,,,,,
Phf11b,GMP,LSKd7,-0.234983965,1,3,,,,,,,,,,,,,,,,,,,,
Med15,GMP,LSKd7,-0.454480259,1,3,,,,,,,,,,,,,,,,,,,,
Dnajc2,GMP,LSKd7,-0.64141914,1,3,,,,,,,,,,,,,,,,,,,,
Ldb1,GMP,LSKd7,-0.670879319,1,3,,,,,,,,,,,,,,,,,,,,
